Isaac Hayes;Breakthrough;Truck Turner OST;1974;Soul / Funk / Disco;Kam;Every Single Weekend;Boyz N the Hood OST;1991;S;0;http://www.whosampled.com/sample/view/117074/Kam-Every%20Single%20Weekend_Isaac%20Hayes-Breakthrough/
Isaac Hayes;Hyperbolicsyllabicsesquedalymistic;Hot Buttered Soul;1969;Soul / Funk / Disco;Racionais MC's;Rapaz Comum;Sobrevivendo No Inferno;1997;S;0;http://www.whosampled.com/sample/view/12618/Racionais%20MC's-Rapaz%20Comum_Isaac%20Hayes-Hyperbolicsyllabicsesquedalymistic/
Isaac Hayes;Vykkii;Disco Connection;1975;Soul / Funk / Disco;DJ Premier;Dink;Beats That Collected Dust;2008;S;4;http://www.whosampled.com/sample/view/34243/DJ%20Premier-Dink_Isaac%20Hayes-Vykkii/
Isaac Hayes;Hyperbolicsyllabicsesquedalymistic;Hot Buttered Soul;1969;Soul / Funk / Disco;N.W.A;Prelude;N****z 4 Life;1991;R;4;http://www.whosampled.com/sample/view/22789/N.W.A-Prelude_Isaac%20Hayes-Hyperbolicsyllabicsesquedalymistic/
Isaac Hayes;A Few More Kisses to Go;Don't Let Go;1979;Soul / Funk / Disco;Vera;Mi Sonido;90's YO!;2011;S;0;http://www.whosampled.com/sample/view/80557/Vera-Mi%20Sonido_Isaac%20Hayes-A%20Few%20More%20Kisses%20to%20Go/
Isaac Hayes;Hyperbolicsyllabicsesquedalymistic;Hot Buttered Soul;1969;Soul / Funk / Disco;Fabe;Nuage Sans Fin;Détournement De Son...;1998;S;4;http://www.whosampled.com/sample/view/89/Fabe-Nuage%20Sans%20Fin_Isaac%20Hayes-Hyperbolicsyllabicsesquedalymistic/
Isaac Hayes;The Red Rooster;Tough Guys;1974;Soundtrack;Blahzay Blahzay;Danger (Part 2);Blah Blah Blah;1996;S;0;http://www.whosampled.com/sample/view/109248/Blahzay%20Blahzay%20feat.%20Dark%20Man,%20Smoothe%20Da%20Hustler%20and%20Trigger%20Tha%20Gambler-Danger%20(Part%202)_Isaac%20Hayes-The%20Red%20Rooster/
Isaac Hayes;Hyperbolicsyllabicsesquedalymistic;Hot Buttered Soul;1969;Soul / Funk / Disco;N.W.A;Message to B.A.;Efil4zaggin;1991;R;4;http://www.whosampled.com/sample/view/25016/N.W.A-Message%20to%20B.A._Isaac%20Hayes-Hyperbolicsyllabicsesquedalymistic/
Isaac Hayes;Hyperbolicsyllabicsesquedalymistic;Hot Buttered Soul;1969;Soul / Funk / Disco;The Game;Remedy;Doctor's Advocate;2006;S;4;http://www.whosampled.com/sample/view/54219/The%20Game-Remedy_Isaac%20Hayes-Hyperbolicsyllabicsesquedalymistic/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;The Cooper Temple Clause;Who Needs Enemies?;See This Through and Leave;2002;S;3;http://www.whosampled.com/sample/view/68107/The%20Cooper%20Temple%20Clause-Who%20Needs%20Enemies%3F_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;Theme From Shaft;Isaac Hayes;1971;Soul / Funk / Disco;Tuff Crew;Deuce, Ace, Housin';Danger Zone ;1988;S;4;http://www.whosampled.com/sample/view/117864/Tuff%20Crew-Deuce,%20Ace,%20Housin'_Isaac%20Hayes-Theme%20From%20Shaft/
Isaac Hayes;Never Gonna Give You Up;Black Moses;1971;Soul / Funk / Disco;Nach;Una Vida Por Delante;Miradas;2005;S;0;http://www.whosampled.com/sample/view/103914/Nach%20feat.%20Flavio%20Rodriguez-Una%20Vida%20Por%20Delante_Isaac%20Hayes-Never%20Gonna%20Give%20You%20Up/
Isaac Hayes;Ike's Rap II;Black Moses;1971;Soul / Funk / Disco;Portishead;Glory Box;Dummy;1994;S;0;http://www.whosampled.com/sample/view/5/Portishead-Glory%20Box_Isaac%20Hayes-Ike's%20Rap%20II/
Isaac Hayes;Do Your Thing (Long Version);Shaft OST;1971;Soul / Funk / Disco;DJ Gruff;Intro Zero Stress;Zero Stress;1996;S;0;http://www.whosampled.com/sample/view/68471/DJ%20Gruff-Intro%20Zero%20Stress_Isaac%20Hayes-Do%20Your%20Thing%20(Long%20Version)/
Isaac Hayes;I Want to Make Love to You So Bad;Chocolate Chip;1975;Soul / Funk / Disco;Foxy Brown;Intro...Chicken Coop;Ill Na Na;1996;S;0;http://www.whosampled.com/sample/view/123866/Foxy%20Brown-Intro...Chicken%20Coop_Isaac%20Hayes-I%20Want%20to%20Make%20Love%20to%20You%20So%20Bad/
Isaac Hayes;The Look of Love;...To Be Continued;1970;Soul / Funk / Disco;Mr. Sche;G's Up Hoes Down;Pimp & Gangsta Supa Star;2007;S;0;http://www.whosampled.com/sample/view/67383/Mr.%20Sche-G's%20Up%20Hoes%20Down_Isaac%20Hayes-The%20Look%20of%20Love/
Isaac Hayes;Ike's Mood I;...To Be Continued;1970;Soul / Funk / Disco;MC Shy D;G.T.F.O.M.F.B. (XXX Rated Version);Don't Sweat Me;1990;S;4;http://www.whosampled.com/sample/view/125200/MC%20Shy%20D-G.T.F.O.M.F.B.%20(XXX%20Rated%20Version)_Isaac%20Hayes-Ike's%20Mood%20I/
Isaac Hayes;Walk From Regio's;Shaft;1971;Soul / Funk / Disco;Ganksta N-I-P;Now Watch 'Em Drop;Psychic Thoughts;1993;S;4;http://www.whosampled.com/sample/view/68892/Ganksta%20N-I-P-Now%20Watch%20'Em%20Drop_Isaac%20Hayes-Walk%20From%20Regio's/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;Portishead;All Mine;Portishead;1997;R;4;http://www.whosampled.com/sample/view/113562/Portishead-All%20Mine_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;A Few More Kisses to Go;Don't Let Go;1979;Soul / Funk / Disco;Blackstreet;Tonight's the Night;BLACKstreet;1994;R;0;http://www.whosampled.com/sample/view/7440/Blackstreet-Tonight's%20the%20Night_Isaac%20Hayes-A%20Few%20More%20Kisses%20to%20Go/
Isaac Hayes;Theme From Shaft;Isaac Hayes;1971;Soul / Funk / Disco;SMKA;Deer Mama;The 808 Experiment: Vol 2;2010;S;0;http://www.whosampled.com/sample/view/105022/SMKA%20feat.%20Yelawolf-Deer%20Mama_Isaac%20Hayes-Theme%20From%20Shaft/
Isaac Hayes;Ike's Mood I;...To Be Continued;1970;Soul / Funk / Disco;Emage;Feel the Funk;Soul Deep;1994;S;4;http://www.whosampled.com/sample/view/137160/Emage-Feel%20the%20Funk_Isaac%20Hayes-Ike's%20Mood%20I/
Isaac Hayes;A House Full of Girls;Truck Turner (Original Soundtrack);1974;Soul / Funk / Disco;Ant Banks;The Drunken Fool;The Big Badass;1994;S;0;http://www.whosampled.com/sample/view/124945/Ant%20Banks%20feat.%20Otis%20%26%20Shug%20and%20Stacy%20Hogg-The%20Drunken%20Fool_Isaac%20Hayes-A%20House%20Full%20of%20Girls/
Isaac Hayes;Breakthrough;Truck Turner OST;1974;Soul / Funk / Disco;Blackalicious;Alphabet Aerobics;A2G;1999;S;1;http://www.whosampled.com/sample/view/26020/Blackalicious-Alphabet%20Aerobics_Isaac%20Hayes-Breakthrough/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;Smoothe Da Hustler;Dollar Bill;Once Upon a Time in America;1996;S;0;http://www.whosampled.com/sample/view/137837/Smoothe%20Da%20Hustler%20feat.%20D.V.%20Alias%20Khrist-Dollar%20Bill_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;Breakthrough;Truck Turner OST;1974;Soul / Funk / Disco;Tone Loc;Cheeba Cheeba;Lōc-ed After Dark;1989;S;1;http://www.whosampled.com/sample/view/26025/Tone%20Loc-Cheeba%20Cheeba_Isaac%20Hayes-Breakthrough/
Isaac Hayes;The Look of Love;...To Be Continued;1970;Soul / Funk / Disco;Mike Ock;Street Life;Day in the Life;1997;S;4;http://www.whosampled.com/sample/view/130700/Mike%20Ock-Street%20Life_Isaac%20Hayes-The%20Look%20of%20Love/
Isaac Hayes;Walk on By;Hot Buttered Soul;1969;Soul / Funk / Disco;Ali Vegas;The Edge;The Rebirth of a Prince;2004;S;4;http://www.whosampled.com/sample/view/69735/Ali%20Vegas-The%20Edge_Isaac%20Hayes-Walk%20on%20By/
Isaac Hayes;Hung Up on My Baby;Tough Guys OST;1974;Soul / Funk / Disco;MLSZ;Letniak;Jedna Miłość;2011;S;0;http://www.whosampled.com/sample/view/132379/MLSZ-Letniak_Isaac%20Hayes-Hung%20Up%20on%20My%20Baby/
